Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
111070211,KM02,11035419,Medical Incident,04/17/2011,04/17/2011,04/17/2011 02:39:08 PM,04/17/2011 02:40:28 PM,04/17/2011 02:41:02 PM,04/17/2011 02:41:49 PM,04/17/2011 02:54:41 PM,,,No Merit,04/17/2011 03:02:09 PM,WEBSTER ST/GEARY BL,SF,94115,B04,05,3541,1,1,2,false,,1,PRIVATE,1,4,5,Japantown,"(37.7845682402461, -122.431204945516)",111070211-KM02
141460835,E07,14050076,Medical Incident,05/26/2014,05/26/2014,05/26/2014 09:26:03 AM,05/26/2014 09:27:31 AM,05/26/2014 09:28:06 AM,05/26/2014 09:29:03 AM,05/26/2014 09:32:59 AM,,,Code 2 Transport,05/26/2014 09:41:48 AM,700 Block of GOLDEN GATE AVE,San Francisco,94102,B02,05,0326,E,E,3,true,Potentially Life-Threatening,1,ENGINE,2,2,5,Western Addition,"(37.7806621042491, -122.422897924418)",141460835-E07
122420172,KM10,12080035,Medical Incident,08/29/2012,08/29/2012,08/29/2012 12:24:06 PM,08/29/2012 12:24:19 PM,08/29/2012 12:24:42 PM,08/29/2012 12:25:35 PM,08/29/2012 12:36:43 PM,08/29/2012 12:48:40 PM,08/29/2012 01:11:41 PM,Code 2 Transport,08/29/2012 01:31:53 PM,300 Block of AMBER DR,SF,94131,B06,26,8164,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,6,8,Glen Park,"(37.7445636381979, -122.441704934967)",122420172-KM10
033300082,E40,03094473,Citizen Assist / Service Call,11/26/2003,11/26/2003,11/26/2003 08:31:22 AM,11/26/2003 08:31:22 AM,11/26/2003 08:31:22 AM,,11/26/2003 08:31:22 AM,,,Other,11/26/2003 08:49:43 AM,2100 Block of 18TH AVE,SF,94116,B08,40,7417,3,3,3,true,,1,ENGINE,1,8,7,West of Twin Peaks,"(37.7477625842458, -122.474883054338)",033300082-E40
010890357,E22,01027248,Structure Fire,03/30/2001,03/30/2001,03/30/2001 07:03:54 PM,03/30/2001 07:05:23 PM,03/30/2001 07:05:37 PM,03/30/2001 07:07:24 PM,,,,Other,03/30/2001 07:10:30 PM,SHRADER ST/WALLER ST,SF,94117,B05,12,4532,3,3,3,false,,1,ENGINE,8,5,5,Haight Ashbury,"(37.7684455265655, -122.451675935631)",010890357-E22
051770046,M03,05047245,Medical Incident,06/26/2005,06/25/2005,06/26/2005 02:26:36 AM,06/26/2005 02:26:48 AM,06/26/2005 02:26:54 AM,06/26/2005 02:28:29 AM,06/26/2005 02:30:54 AM,06/26/2005 02:50:33 AM,06/26/2005 02:56:21 AM,Code 2 Transport,06/26/2005 03:10:17 AM,300 Block of TURK ST,SF,94102,B02,03,1554,E,E,3,true,,1,MEDIC,1,2,6,Tenderloin,"(37.7826355124294, -122.414862827314)",051770046-M03
122260042,T03,12074807,Structure Fire,08/13/2012,08/12/2012,08/13/2012 03:43:05 AM,08/13/2012 03:43:39 AM,08/13/2012 03:44:06 AM,08/13/2012 03:45:20 AM,08/13/2012 03:46:53 AM,,,Other,08/13/2012 03:53:43 AM,400 Block of LEAVENWORTH ST,SF,94109,B04,03,1544,3,3,3,false,Fire,1,TRUCK,1,2,6,Tenderloin,"(37.7851111081788, -122.414592038343)",122260042-T03
180751522,78,18031916,Medical Incident,03/16/2018,03/16/2018,03/16/2018 11:39:23 AM,03/16/2018 11:41:31 AM,03/16/2018 11:41:44 AM,03/16/2018 11:41:57 AM,03/16/2018 12:06:06 PM,03/16/2018 12:27:14 PM,03/16/2018 12:56:21 PM,Code 2 Transport,03/16/2018 01:46:18 PM,1400 Block of 3RD ST,San Francisco,94158,B03,04,2231,2,2,2,true,Non Life-threatening,1,MEDIC,1,3,6,Mission Bay,"(37.770198458047965, -122.38957826549131)",180751522-78
180540600,E06,18022940,Medical Incident,02/23/2018,02/22/2018,02/23/2018 07:41:27 AM,02/23/2018 07:42:15 AM,02/23/2018 07:43:53 AM,02/23/2018 07:44:55 AM,02/23/2018 07:53:10 AM,,,Code 2 Transport,02/23/2018 07:53:26 AM,1600 Block of MARKET ST,San Francisco,94103,B02,36,5115,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,2,6,Mission,"(37.773218067592516, -122.42152230069615)",180540600-E06
042180001,M43,04060460,Medical Incident,08/05/2004,08/04/2004,08/05/2004 12:11:00 AM,08/05/2004 12:13:23 AM,08/05/2004 12:14:09 AM,08/05/2004 12:16:48 AM,08/05/2004 12:26:38 AM,08/05/2004 12:56:58 AM,08/05/2004 01:10:58 AM,Other,08/05/2004 01:36:34 AM,300 Block of GONZALEZ DR,SF,94132,B08,19,8423,3,3,3,true,,1,MEDIC,1,8,7,Lakeshore,"(37.716122935371, -122.476494710163)",042180001-M43
010570357,M09,01017266,Medical Incident,02/26/2001,02/26/2001,02/26/2001 10:09:08 PM,02/26/2001 10:10:37 PM,02/26/2001 10:11:14 PM,02/26/2001 10:12:41 PM,02/26/2001 10:16:01 PM,02/26/2001 10:25:48 PM,,Other,02/26/2001 10:47:43 PM,1800 Block of 25TH ST,SF,94107,B10,37,2615,3,3,3,true,,1,MEDIC,1,10,10,Potrero Hill,"(37.7521976465641, -122.397477711041)",010570357-M09
161684219,E38,16066356,Medical Incident,06/16/2016,06/16/2016,06/16/2016 10:25:52 PM,06/16/2016 10:26:16 PM,06/16/2016 10:26:37 PM,06/16/2016 10:27:41 PM,06/16/2016 10:29:07 PM,,,Code 2 Transport,06/16/2016 10:34:01 PM,LAGUNA ST/SUTTER ST,San Francisco,94115,B04,38,3364,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,4,5,Japantown,"(37.7867126546212, -122.428335613395)",161684219-E38
171980534,65,17083179,Medical Incident,07/17/2017,07/16/2017,07/17/2017 06:35:25 AM,07/17/2017 06:36:21 AM,07/17/2017 06:36:33 AM,07/17/2017 06:36:40 AM,07/17/2017 06:41:34 AM,07/17/2017 07:22:23 AM,07/17/2017 07:46:40 AM,Code 2 Transport,07/17/2017 08:08:57 AM,0 Block of LATONA ST,San Francisco,94124,B10,17,6514,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,10,10,Bayview Hunters Point,"(37.7316182572491, -122.392627218053)",171980534-65
113210179,88,11106624,Medical Incident,11/17/2011,11/17/2011,11/17/2011 11:56:31 AM,11/17/2011 11:57:17 AM,11/17/2011 11:58:26 AM,11/17/2011 11:59:00 AM,11/17/2011 12:05:26 PM,11/17/2011 12:24:29 PM,11/17/2011 01:05:48 PM,Code 2 Transport,11/17/2011 01:24:14 PM,GROVE ST/LARKIN ST,SF,94102,B02,36,1552,3,3,3,true,,1,MEDIC,2,2,6,Tenderloin,"(37.7786578549412, -122.416580344698)",113210179-88
171442599,57,17061235,Medical Incident,05/24/2017,05/24/2017,05/24/2017 03:08:34 PM,05/24/2017 03:11:04 PM,05/24/2017 03:11:18 PM,05/24/2017 03:11:51 PM,05/24/2017 03:14:44 PM,05/24/2017 03:51:14 PM,05/24/2017 03:51:15 PM,Code 2 Transport,05/24/2017 04:00:11 PM,2000 Block of SILVER AVE,San Francisco,94124,B10,42,6454,2,2,2,true,Non Life-threatening,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7360541412918, -122.399492021329)",171442599-57
073060060,96,07087900,Traffic Collision,11/02/2007,11/01/2007,11/02/2007 06:55:41 AM,11/02/2007 06:56:35 AM,11/02/2007 06:56:51 AM,11/02/2007 06:57:03 AM,11/02/2007 07:00:02 AM,11/02/2007 07:13:58 AM,11/02/2007 07:20:48 AM,Code 2 Transport,11/02/2007 07:42:00 AM,14TH ST/HARRISON ST,SF,94103,B02,36,5112,3,3,3,true,,1,MEDIC,1,2,9,Mission,"(37.7686712258347, -122.413396248713)",073060060-96
142541450,E02,14088648,Medical Incident,09/11/2014,09/11/2014,09/11/2014 12:04:23 PM,09/11/2014 12:04:23 PM,09/11/2014 12:04:23 PM,09/11/2014 12:04:23 PM,09/11/2014 12:04:23 PM,,,Fire,09/11/2014 12:23:26 PM,POWELL ST/POST ST,San Francisco,94108,B01,01,1362,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,1,3,Financial District/South Beach,"(37.7882931920047, -122.408401551902)",142541450-E02
140610285,E18,14020734,Medical Incident,03/02/2014,03/02/2014,03/02/2014 07:15:13 PM,03/02/2014 07:17:39 PM,03/02/2014 07:18:12 PM,03/02/2014 07:19:19 PM,03/02/2014 07:21:49 PM,,,Code 2 Transport,03/02/2014 07:36:17 PM,2200 Block of RIVERA ST,SF,94116,B08,18,7545,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7460863930758, -122.490411463766)",140610285-E18
152942007,E01,15112996,Medical Incident,10/21/2015,10/21/2015,10/21/2015 01:27:21 PM,10/21/2015 01:31:02 PM,10/21/2015 01:31:37 PM,10/21/2015 01:32:42 PM,10/21/2015 01:34:01 PM,,,Medical Examiner,10/21/2015 02:09:50 PM,900 Block of MISSION ST,San Francisco,94103,B03,01,2251,E,E,3,true,Potentially Life-Threatening,1,ENGINE,1,3,6,South of Market,"(37.7815063666429, -122.407932868203)",152942007-E01
151241111,85,15046958,Traffic Collision,05/04/2015,05/04/2015,05/04/2015 10:06:44 AM,05/04/2015 10:08:39 AM,05/04/2015 10:08:53 AM,05/04/2015 10:09:04 AM,05/04/2015 10:18:05 AM,05/04/2015 10:48:04 AM,05/04/2015 10:59:41 AM,Code 2 Transport,05/04/2015 11:39:01 AM,1400 Block of 9TH AVE,San Francisco,94122,B08,22,7334,2,2,2,true,Non Life-threatening,1,MEDIC,2,8,5,Inner Sunset,"(37.7612463430901, -122.466046390391)",151241111-85
033540015,M05,03101315,Medical Incident,12/20/2003,12/19/2003,12/20/2003 01:27:17 AM,12/20/2003 01:29:33 AM,12/20/2003 01:29:41 AM,12/20/2003 01:30:59 AM,12/20/2003 01:32:04 AM,12/20/2003 01:37:13 AM,12/20/2003 02:04:45 AM,Other,12/20/2003 02:14:21 AM,700 Block of WEBSTER ST,SF,94117,B05,05,3521,3,3,3,true,,1,MEDIC,1,2,5,Hayes Valley,"(37.7774337931846, -122.429916785858)",033540015-M05
012420078,B01,01074546,Alarms,08/30/2001,08/30/2001,08/30/2001 08:05:34 AM,08/30/2001 08:06:18 AM,08/30/2001 08:06:40 AM,08/30/2001 08:07:29 AM,,,,Other,08/30/2001 08:09:59 AM,100 Block of DRUMM ST,SF,94111,B01,13,1115,3,3,3,false,,1,CHIEF,3,1,3,Financial District/South Beach,"(37.7950362552473, -122.396610479798)",012420078-B01
181522189,T19,18064393,Alarms,06/01/2018,06/01/2018,06/01/2018 02:59:00 PM,06/01/2018 03:00:08 PM,06/01/2018 03:00:37 PM,06/01/2018 03:01:59 PM,06/01/2018 03:05:56 PM,,,Fire,06/01/2018 03:13:11 PM,300 Block of SERRANO DR,San Francisco,94132,B08,19,8581,3,3,3,true,Alarm,1,TRUCK,2,8,7,Lakeshore,"(37.71901186767855, -122.48045074945877)",181522189-T19
131530089,E34,13051755,Medical Incident,06/02/2013,06/02/2013,06/02/2013 08:05:55 AM,06/02/2013 08:08:45 AM,06/02/2013 08:08:58 AM,06/02/2013 08:09:51 AM,06/02/2013 08:14:27 AM,,,No Merit,06/02/2013 08:17:16 AM,800 Block of LA PLAYA,SF,94121,B07,34,7311,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,7,1,Outer Richmond,"(37.7723244294895, -122.510034921211)",131530089-E34
061760420,E08,06049314,Gas Leak (Natural and LP Gases),06/25/2006,06/25/2006,06/25/2006 11:29:04 PM,06/25/2006 11:29:51 PM,06/25/2006 11:30:14 PM,06/25/2006 11:31:31 PM,06/25/2006 11:34:16 PM,,,Fire,06/25/2006 11:35:56 PM,1100 Block of 8TH ST,SF,94107,B03,29,2362,3,3,3,true,,1,ENGINE,1,3,10,Mission Bay,"(37.767036431566, -122.400003831737)",061760420-E08
181302309,E40,18055200,Structure Fire,05/10/2018,05/10/2018,05/10/2018 01:51:50 PM,05/10/2018 01:53:24 PM,05/10/2018 01:53:45 PM,05/10/2018 01:54:43 PM,05/10/2018 01:57:42 PM,,,Fire,05/10/2018 01:58:10 PM,SANTIAGO ST/26TH AV,San Francisco,94116,B08,40,7471,3,3,3,false,Alarm,1,ENGINE,2,8,4,Sunset/Parkside,"(37.74458706997762, -122.48332232255939)",181302309-E40
172162699,T03,17090563,Alarms,08/04/2017,08/04/2017,08/04/2017 04:14:29 PM,08/04/2017 04:15:47 PM,08/04/2017 04:16:10 PM,08/04/2017 04:18:31 PM,08/04/2017 04:20:09 PM,,,Fire,08/04/2017 04:28:41 PM,500 Block of ELLIS ST,San Francisco,94109,B02,03,1555,3,3,3,false,Alarm,1,TRUCK,1,2,6,Tenderloin,"(37.784476659022, -122.415414178631)",172162699-T03
083540371,E11,08108352,Medical Incident,12/19/2008,12/19/2008,12/19/2008 08:50:33 PM,12/19/2008 08:52:19 PM,12/19/2008 08:52:29 PM,12/19/2008 08:53:49 PM,12/19/2008 08:58:19 PM,,,No Merit,12/19/2008 09:03:49 PM,3200 Block of 24TH ST,SF,94110,B06,11,5525,3,2,2,true,,1,ENGINE,1,6,9,Mission,"(37.7524095591909, -122.416551372097)",083540371-E11
081370078,E44,08042034,Structure Fire,05/16/2008,05/15/2008,05/16/2008 05:33:41 AM,05/16/2008 05:35:04 AM,05/16/2008 05:35:09 AM,05/16/2008 05:37:20 AM,05/16/2008 05:39:35 AM,,,Other,05/16/2008 05:42:06 AM,0 Block of ORSI CIR,SF,94124,B10,42,6475,3,3,3,true,,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7283462981568, -122.397294752472)",081370078-E44
020740240,B07,02022295,Alarms,03/15/2002,03/15/2002,03/15/2002 02:19:27 PM,03/15/2002 02:19:51 PM,03/15/2002 02:20:01 PM,03/15/2002 02:21:24 PM,,,,Other,03/15/2002 02:24:22 PM,700 Block of 33RD AVE,SF,94121,B07,14,7244,3,3,3,false,,1,CHIEF,2,7,1,Outer Richmond,"(37.7749808628388, -122.49290444364)",020740240-B07
131210265,E36,13040714,Medical Incident,05/01/2013,05/01/2013,05/01/2013 03:17:15 PM,05/01/2013 03:18:12 PM,05/01/2013 03:18:54 PM,05/01/2013 03:19:04 PM,05/01/2013 03:22:14 PM,,,Other,05/01/2013 03:50:26 PM,1100 Block of MISSION ST,SF,94103,B02,36,2318,3,3,3,false,Potentially Life-Threatening,1,ENGINE,3,2,6,South of Market,"(37.7777124404316, -122.412736707425)",131210265-E36
171450890,77,17061536,Medical Incident,05/25/2017,05/25/2017,05/25/2017 08:42:44 AM,05/25/2017 08:43:10 AM,05/25/2017 08:43:35 AM,05/25/2017 08:43:40 AM,05/25/2017 08:52:57 AM,05/25/2017 09:00:27 AM,05/25/2017 09:19:31 AM,Code 2 Transport,05/25/2017 09:48:38 AM,100 Block of TURK ST,San Francisco,94102,B03,03,1456,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,3,6,Tenderloin,"(37.7830549681708, -122.411577299279)",171450890-77
070900014,M11,07026017,Medical Incident,03/31/2007,03/30/2007,03/31/2007 01:18:47 AM,03/31/2007 01:19:20 AM,03/31/2007 01:19:35 AM,03/31/2007 01:21:19 AM,,,,SFPD,03/31/2007 01:22:01 AM,POTRERO AV/CESAR CHAVEZ ST,SF,94110,B10,09,2626,2,2,2,true,,1,MEDIC,1,10,9,Bernal Heights,"(37.7490055721109, -122.405007343737)",070900014-M11
041150031,E43,04032572,Medical Incident,04/24/2004,04/23/2004,04/24/2004 02:11:59 AM,04/24/2004 02:13:00 AM,04/24/2004 02:13:12 AM,04/24/2004 02:15:02 AM,04/24/2004 02:17:37 AM,,,Other,04/24/2004 02:41:13 AM,100 Block of BRAZIL AVE,SF,94112,B09,43,6127,E,E,3,true,,1,ENGINE,3,9,11,Excelsior,"(37.7241714494638, -122.433596788622)",041150031-E43
102640326,B07,10083675,Structure Fire,09/21/2010,09/21/2010,09/21/2010 07:32:14 PM,09/21/2010 07:32:40 PM,09/21/2010 07:32:57 PM,09/21/2010 07:35:01 PM,09/21/2010 07:36:58 PM,,,Other,09/21/2010 07:43:11 PM,100 Block of 3RD AVE,SF,94118,B07,31,7115,3,3,3,false,,1,CHIEF,2,7,2,Inner Richmond,"(37.7861127461326, -122.461350652607)",102640326-B07
182263783,E41,18095609,Citizen Assist / Service Call,08/14/2018,08/14/2018,08/14/2018 10:14:52 PM,08/14/2018 10:15:58 PM,08/14/2018 10:16:17 PM,08/14/2018 10:17:25 PM,08/14/2018 10:20:34 PM,,,Fire,08/14/2018 10:21:12 PM,FILBERT ST/VAN NESS AV,San Francisco,94109,B04,16,3146,3,3,3,false,Alarm,1,ENGINE,1,4,2,Russian Hill,"(37.7994845306272, -122.42417056442649)",182263783-E41
011900029,RS2,01058928,Structure Fire,07/09/2001,07/08/2001,07/09/2001 04:39:04 AM,07/09/2001 04:39:35 AM,07/09/2001 04:39:51 AM,07/09/2001 04:40:54 AM,07/09/2001 04:44:30 AM,,,Other,07/09/2001 06:08:51 AM,1900 Block of PALOU AVE,SF,94124,B10,42,6431,3,3,3,false,,1,RESCUE SQUAD,3,10,10,Bayview Hunters Point,"(37.7377301358616, -122.397406602274)",011900029-RS2
080830336,81,08025774,Medical Incident,03/23/2008,03/23/2008,03/23/2008 09:13:22 PM,03/23/2008 09:15:41 PM,03/23/2008 09:15:58 PM,03/23/2008 09:16:12 PM,03/23/2008 09:23:44 PM,03/23/2008 09:36:25 PM,03/23/2008 09:41:28 PM,Code 2 Transport,03/23/2008 10:05:47 PM,200 Block of BANKS ST,SF,94110,B10,32,5727,2,2,2,true,,1,MEDIC,1,10,9,Bernal Heights,"(37.7397664770684, -122.412789358109)",080830336-81
080390140,E38,08012241,Alarms,02/08/2008,02/08/2008,02/08/2008 10:16:29 AM,02/08/2008 10:17:50 AM,02/08/2008 10:18:16 AM,02/08/2008 10:19:59 AM,02/08/2008 10:23:40 AM,,,Fire,02/08/2008 10:25:27 AM,2700 Block of BUCHANAN ST,SF,94123,B04,38,3442,3,3,3,true,,1,ENGINE,2,4,2,Pacific Heights,"(37.7951554962576, -122.431799193187)",080390140-E38
043230267,M14,04089222,Medical Incident,11/18/2004,11/18/2004,11/18/2004 03:10:30 PM,11/18/2004 03:11:30 PM,11/18/2004 03:11:48 PM,11/18/2004 03:15:12 PM,11/18/2004 03:16:43 PM,11/18/2004 03:28:47 PM,11/18/2004 03:37:52 PM,Other,11/18/2004 04:05:06 PM,400 Block of 15TH AVE,SF,94118,B07,31,7154,2,2,2,true,,1,MEDIC,1,7,1,Outer Richmond,"(37.7796108045675, -122.473976770296)",043230267-M14
023500561,T11,02104426,Alarms,12/16/2002,12/16/2002,12/16/2002 11:30:53 PM,12/16/2002 11:31:11 PM,12/16/2002 11:31:17 PM,12/16/2002 11:32:45 PM,,,,Other,12/16/2002 11:38:54 PM,1300 Block of VALENCIA ST,SF,94110,B06,11,5535,3,3,3,false,,1,TRUCK,2,6,8,Mission,"(37.7513004428428, -122.420654868929)",023500561-T11
070220075,A304,07006430,Traffic Collision,01/22/2007,01/22/2007,01/22/2007 08:26:59 AM,01/22/2007 08:28:40 AM,01/22/2007 08:29:23 AM,,,01/22/2007 08:55:27 AM,01/22/2007 09:04:40 AM,Other,01/22/2007 09:23:47 AM,300 Block of SAINT JOSEPHS AVE,SF,94115,B05,10,4261,3,3,3,false,,1,PRIVATE,4,5,2,Western Addition,"(37.7825498243006, -122.442292311195)",070220075-A304
143183755,79,14112784,Medical Incident,11/14/2014,11/14/2014,11/14/2014 09:37:47 PM,11/14/2014 09:37:47 PM,11/14/2014 09:38:14 PM,11/14/2014 09:38:23 PM,11/14/2014 09:50:03 PM,11/14/2014 09:56:50 PM,11/14/2014 10:49:42 PM,Code 2 Transport,11/14/2014 10:50:58 PM,1200 Block of POLK ST,San Francisco,94109,B04,03,3121,2,2,2,true,Non Life-threatening,1,MEDIC,1,4,3,Nob Hill,"(37.7884521578132, -122.420326993863)",143183755-79
